animalId,animalName,animalType,animalGender,animalBreed,animalColor,address,isDead
A516868,,Cat,Female,Domestic Shorthair,Black,13400 MARTIN LUTHER KING JR WAY S,
A516892,Buster,Dog,Neutered Male,Labrador Retriever / Pit Bull,Chocolate,25400 109TH CT SE,
A515966,Shadow,Cat,Male,Russian Blue,Unknown,NE 141ST STREET & 84TH AVENUE NE,
A517335,Smoky,Cat,Male,Domestic Mediumhair,Unknown,387TH AND 244TH,
A516015,Gingerbread,Dog,Spayed Female,Pug / Mix,Fawn / Black,14000 SE 240TH ST,
A516746,Lisa,Cat,Spayed Female,Domestic Shorthair,Gray,15500 SE GREEN VALLEY RD,
A516118,Cutie,Cat,Spayed Female,American Shorthair,Black,,
A516892,Buster,Dog,Neutered Male,Labrador Retriever / Pit Bull,Chocolate,,
A513804,Cooper,Cat,Neutered Male,Domestic Shorthair,Brn Tabby,,
A515128,,Cat,Neutered Male,Domestic Shorthair,Black / White,19400 SAWYER RD,TRUE
A515533,,Cat,Male,Domestic Shorthair,Choc Pt,800 SW 116TH ST,TRUE
A480867,Clyde,Cat,Neutered Male,Domestic Shorthair,Orange / White,,
A516759,,Cat,Female,Domestic Mediumhair,Brn Tabby / Black,7600 S 126TH ST,
A509437,Brodie,Dog,Neutered Male,Pit Bull / Labrador Retriever,Br Brindle / White,,
A516802,,Cat,Neutered Male,Domestic Shorthair,Brn Tabby,28200 SE 424TH ST,
A513223,Sophie,Cat,Spayed Female,Siamese / Mix,Gray / White,21615 64TH AVE S,
A517060,,Cat,Male,Domestic Shorthair,Black / White,10400 SE 206TH PL,
A517139,Frannie,Cat,Spayed Female,Domestic Shorthair,Brn Tabby / White,12040 NE 85TH ST,
A509731,,Cat,Neutered Male,Domestic Mediumhair,Brn Tabby,,
A516632,,Cat,Male,Domestic Shorthair,Org Tabby / White,3000 S 253RD ST,
A517163,,Dog,Female,Cocker Spaniel,Tan,20900 108TH AVE SE,
A480867,Clyde,Cat,Neutered Male,Domestic Shorthair,Orange / White,21615 64TH AVE S,
A515665,Moby,Dog,Neutered Male,Chihuahua - Smooth Coated,Tricolor,12040 NE 85TH ST,
A509871,Gertie,Cat,Spayed Female,Domestic Longhair,Black,21615 64TH AVE S,
A516241,Rambo,Cat,Neutered Male,Domestic Shorthair,Black / White,,
A516791,,Cat,Neutered Male,Domestic Shorthair / Siamese,Seal Pt / White,11100 SE 256TH ST,
A458659,Grandma,Cat,Spayed Female,Domestic Shorthair,Tortie,21615 64TH AVE S,
A516266,Angel,Cat,Spayed Female,Domestic Shorthair,Brn Tabby,2100 S 272ND ST,
A512752,Bon Jovi,Cat,Spayed Female,Domestic Longhair,Dilute Tor,,
A517251,,Dog,Female,Chihuahua - Smooth Coated,Tan / White,14700 NE 167TH ST,
A516623,,Cat,Male,Domestic Shorthair,Black / White,25100 132ND AVE SE,
A517263,,Cat,Male,Domestic Shorthair,Org Tabby / White,1400 MAPLE LN,
A516689,,Cat,Male,Domestic Shorthair,Org Tabby,4200 S 158TH ST,
A516801,,Cat,Spayed Female,Domestic Mediumhair,White / Brn Tabby,28200 SE 424TH ST,
A516745,Bobby,Cat,Neutered Male,Domestic Shorthair,Black,,
A516135,,Cat,,Domestic Longhair,Black / Brown,21ST AVESW & SW 356TH ST,
A517275,,Dog,Male,Pit Bull,White / Brown,13200 SE 208TH ST,
A517019,,Cat,Female,Domestic Shorthair,Black,21600 64TH AVE S,
A511967,Sir Charles,Cat,Neutered Male,Domestic Shorthair,Gray Tabby,,
A496205,Missy,Cat,Spayed Female,Domestic Mediumhair,White,21615 64TH AVE S,
A514763,,Dog,Female,Yorkshire Terrier,Brown / Black,SE 183RD PL & 112TH AVE SE,
A517125,,Cat,Neutered Male,Domestic Shorthair,Black / White,23200 88TH AVE S,
A517096,Spencer,Dog,Neutered Male,Pit Bull / Boxer,Br Brindle / White,3900 236TH AVE NE,
A516746,Lisa,Cat,Spayed Female,Domestic Shorthair,Gray,,
A514476,Mischief,Cat,Male,Domestic Shorthair,Unknown,RENTON AVENUE S & HARDIE AVENUE SW,
A517080,,Cat,Neutered Male,Domestic Mediumhair,White / Black,3300 S 170TH ST,
A517332,,Cat,Neutered Male,Domestic Shorthair,Brn Tabby,21600 64TH AVE S,
A515889,,Dog,Neutered Male,Labrador Retriever,Black,27900 122ND PL SE,TRUE
A516124,,Dog,Male,Pomeranian,Black,18200 73RD AVE NE,TRUE
A516965,Dempsey,Dog,Male,Pit Bull,Black,12500 50TH PL S,
A516742,,Cat,Male,Domestic Shorthair,Black,15500 SE GREEN VALLEY RD,
A516741,,Cat,Female,Domestic Shorthair,Black,15500 SE GREEN VALLEY RD,
A517165,,Dog,Male,Chow Chow,Buff / Gray,26900 109TH PL SE,TRUE
A516798,,Cat,Neutered Male,Domestic Longhair,Blk Smoke,28200 SE 424TH ST,
A506784,Stoney,Cat,Neutered Male,Domestic Mediumhair,Gray / White,21615 64TH AVE S,
A505007,Ash,Cat,Neutered Male,Domestic Shorthair,Black,21615 64TH AVE S,
A517312,,Dog,Male,Miniature Poodle / Mix,White,25400 120TH PL SE,
A516784,,Cat,Neutered Male,Domestic Longhair,Brn Tabby / White,3400 HAMPTON WAY,
A517149,,Cat,Neutered Male,Domestic Shorthair,Brn Tabby / White,28400 168TH AVE SE,
A517034,Lacey,Dog,Spayed Female,Chihuahua - Smooth Coated,Brown / Black,12040 NE 85TH ST,
A515150,,Cat,Neutered Male,Domestic Shorthair,Brn Tabby,5300 SOUTHCENTER BLVD,TRUE
A517053,,Cat,Female,Domestic Shorthair,Dilute Tor,25600 29TH AVE S,
A517282,Russell,Cat,Neutered Male,Domestic Shorthair,Black / White,,
A517313,,Dog,Female,Lhasa Apso / Mix,Brown / Tan,25400 120TH PL SE,
A515138,Cream,Dog,Male,Pit Bull,Cream / White,1900 DIVISION ST,TRUE
A515130,,Cat,Neutered Male,Domestic Mediumhair,Black,21300 120TH PL SE,TRUE
A515131,,Cat,Male,Domestic Longhair,Brn Tabby,25200 REITH RD,TRUE
A514904,Chip,Dog,Neutered Male,Yorkshire Terrier / Mix,Brown,,
A515025,Tyler,Dog,Male,Chihuahua - Smooth Coated,Unknown,SW 120TH STREET & 4TH AVENUE SW,
A516016,Reuben,Dog,Neutered Male,Miniature Schnauzer / Miniature Poodle,Black / White,14000 SE 240TH ST,
A517096,Spencer,Dog,Neutered Male,Pit Bull / Boxer,Br Brindle / White,,
A505004,Rosie,Cat,Spayed Female,Domestic Shorthair,Black,21615 64TH AVE S,
A516792,,Cat,Spayed Female,Domestic Shorthair,Brn Tabby,11100 SE 256TH ST,
A517151,,Dog,Female,Papillon,White / Black,23600 60TH AVE S,
A517131,Alley,Cat,Spayed Female,Domestic Shorthair,Calico,,
A514690,Dancer,Cat,Spayed Female,Domestic Shorthair,Tortie,,
A517018,,Cat,Spayed Female,Domestic Shorthair,Black,21600 64TH AVE S,
A514735,Jack,Cat,Neutered Male,Domestic Shorthair,Black / White,19600 SE 260TH ST,
A516804,,Cat,Spayed Female,Domestic Shorthair,Black,28200 SE 424TH ST,
A260496,Rascal,Cat,Neutered Male,Domestic Mediumhair,White / Gray,,
A517048,,Cat,Male,Domestic Shorthair,Apricot / White,25600 29TH AVE S,
A516799,,Cat,Spayed Female,Domestic Shorthair,Brn Tabby,28200 SE 424TH ST,
A516076,Star,Dog,Spayed Female,Chihuahua - Smooth Coated,Tan,4000 S 146TH ST,
A516361,Jones,Cat,Neutered Male,Domestic Longhair,Brn Tabby,13300 NE 134TH PL,
A515139,Donut,Cat,Neutered Male,Domestic Longhair,Orange / White,1900 DIVISION ST,TRUE
A516425,,Dog,Male,Brussels Griffon,Brown,4TH AVENUE & BLANCHARD ST,
A516738,,Bird,Male,Chicken,Red / Black,21600 64TH AVE S,
A517315,Bear,Dog,Neutered Male,Australian Shepherd / Chesapeke Bay Retriever,Brown,25800 LAKE FENWICK RD,
A517326,,Dog,Male,Pit Bull / Mix,White / Black,11300 SE KENT KANGLEY RD,
A516386,Kingsly,Cat,Neutered Male,Domestic Shorthair,Black,26600 167TH PL SE,
A516008,Cassidy,Cat,Spayed Female,Domestic Shorthair,Tortie / White,12040 NE 85TH ST,
A516459,,Cat,Neutered Male,Domestic Mediumhair,Gray Tabby,800 2ND AVE N,
A517099,,Cat,Male,Domestic Shorthair,Orange / White,18200 80TH AVE S,
A516494,,Dog,Male,Chihuahua - Long Haired,White / Brown,SE 240TH PLACE & 112TH AVENUE SE,
A517314,,Cat,Male,Domestic Shorthair,Brown / Black,3200 S 296TH PL,
A509728,,Cat,Neutered Male,Domestic Shorthair,Black / White,,
A517020,,Cat,Female,Domestic Shorthair,Gray,21600 64TH AVE S,
A517129,Melvin,Cat,Neutered Male,Domestic Shorthair,Brn Tabby / White,,
A517146,Fuego,Dog,Male,Chihuahua - Smooth Coated,Unknown,277TH AND MILITARY ROAD,
A517261,Carlos,Dog,Male,Yorkshire Terrier,Unknown,20325 NE 186TH STREET,
A517274,Smokey,Cat,Male,Domestic Mediumhair,Unknown,244TH AND 390TH,
